1||
2|Enter Castle Alamar?|Войти в замок Аламар?
3|Fountain of Super Resilience|Фонтан Супер-Жизнестойкости
4|You feel like you could take on the world.  +2500 hit points.|Вы чувствуете, что можете горы свернуть.  +2500 здоровья.
5|The water is cool and refreshing!|Вода прохладная и освежающая!
6|====|====
7||
8|Enter Mine?|Войти в шахту?
9|Forbidden Zone.  Keep Out!|Запретная зона. Не входить!
10|You stumble upon a camp of Barbarian Archers.  Burn?|Вы наткнулись на лагерь варварских лучников. Сжечь?
11|Smoke rises into the sky as you put the camp to the torch. +100,000 experience|Дым от сожжённого вами лагеря поднимается в небо. +100000 опыта.
12|====|====
13||
14||
15||
16|Linus{a}{9:125}the Ruby Gemsmith|Линус{a}{9:125}Кузнец по рубинам
17|With 5 Ruby rocks I will make a weapon or piece of armor for you. The cost is 100 gems.  Do you accept?|Из 5 рубинов я сделаю для вас оружие или элемент брони. Стоимость 100 самоцветов. Согласны?
18|What do you prefer?{a}1) A Weapon{a}2) Something to Wear|Что вы предпочтёте?{a}1) Оружие{a}2) Броню
19|Simon{a}{9:125}the Emerald Gemsmith|Саймон{a}{9:125}Кузнец по изумрудам
20|With 5 Emerald rocks I will make a weapon or piece of armor for you. The cost is 200 gems.  Do you accept?|Из 5 изумрудов я сделаю для вас оружие или элемент брони. Стоимость 200 самоцветов. Согласны?
21|Toby{a}{9:125}the Sapphire Gemsmith|Тоби{a}{9:125}Кузнец по сапфирам
22|With 5 Sapphire rocks I will make a weapon or piece of armor for you. The cost is 400 gems.  Do you accept?|Из 5 сапфиров я сделаю для вас оружие или элемент брони. Стоимость 400 самоцветов. Согласны?
23|I'm sorry, but you don't have enough Ruby rocks.  Come back when you do!|Извините, у вас недостаточно рубинов. Возвращайтесь, когда добудете их!
24|I'm sorry, but you don't have enough Emerald rocks.  Come back when you do!|Извините, но у вас недостаточно изумрудов. Возвращайтесь, когда добудете их!
25|I'm sorry, but you don't have enough Sapphire rocks.  Come back when you do!|Извините, у вас недостаточно сапфиров. Возвращайтесь, когда добудете их!
26|Will the party pray?|Будет ли отряд молиться?
27|Only silence answers your supplication.|Лишь тишина отвечает вашим мольбам.
28|Recognizing the urgency of your quest, the Gods grant you 3 levels.|Понимая важность ваших поисков, Боги даровали вам 3 уровня.
29|West Tower{a}{9:125}<--|Западная башня{a}{9:125}<--
30|Well of Resilience|Фонтан Жизнестойкости
31|The water is cool and refreshing.|Вода прохладная и освежающая.
32|The water magically toughens your skin and strengthens your bones.  +50 hit points|Вода магическим образом делает вашу кожу жёстче, а кости прочнее. +50 очков здоровья
33|Well|Колодец
34|Well of Spells|Колодец заклинаний
35|Your fingers and toes tingle from the extra magic coursing through your veins.  +50 spell points.|Ваши пальцы рук и ног покалывает от избытка магии, бегущей по вашим венам. +50 очков магии.
36|A strange rope rises up through the ceiling.  Climb?|Странная верёвка уходит вверх через потолок. Подниметесь?
37|Dreyfus{a}{9:125}High Priest of Mok|Дрейфус{a}{9:125}Верховный жрец Мока
38|Oh, wretched fortune!  I, Dreyfus, high priest of Mok, have been cast from my tower by heretics in the priesthood!  To think that I was blind to their deviance until it was too late to turn them back to the path of the faithful!  I would punish myself for my stupidity, but there is no time for such indulgences.  I have been locked out of the tower and must gain readmittance as soon as possible to salvage what I can from the situation.  The only way in is from the top, but the heretics have placed magical wards against my entrance.  Perhaps you could get by the wards and open the tower to me again.|О злодейка-судьба! Меня, Дрейфуса, верховного жреца Мока, еретики выгнали из моей же башни! Я не хотел замечать отступничества, пока не стало слишком поздно наставлять их на путь истинный! Я должен заплатить за свою глупость, но сейчас не до этого. Мне нужно как можно скорее попасть в башню, на самую вершину, чтобы всё исправить, но еретики поставили магические барьеры, которые не пускают меня внутрь. Возможно, вы смогли бы избавиться от стражи, чтобы я снова мог туда войти.
39|Your failure to breach the tower is not your fault;  it is a test of my determination to cleanse the faith of heresy.  I implore you to continue your efforts on my behalf.|Не ваша вина, что вы не смогли попасть в башню. Это испытание моей решимости. Я должен очистить веру от ереси. Умоляю, продолжайте свою борьбу во имя меня.
