Original|translated
vertigo0x00|vertigo0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x1C|0x1C
0x00|0x00
0x00|0x00
0x03|0x03
nightshadow0x00|nightshadow0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x1D|0x1D
0x00|0x00
0x00|0x00
0x03|0x03
rivercity0x00|rivercity0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x1E|0x1E
0x00|0x00
0x00|0x00
0x00|0x00
asp0x00|asp0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x1F|0x1F
0x00|0x00
0x00|0x00
0x00|0x00
winterkill0x00|winterkill0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
 0x00| 0x00
0x00|0x00
0x02|0x02
castle burlock0x00|castle burlock0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0E|0x0E
0x08|0x08
0x03|0x03
 newcastle0x00| newcastle0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0C|0x0C
0x0B|0x0B
0x0D|0x0D
 castle basenji0x00| castle basenji0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x01|0x01
0x05|0x05
0x0B|0x0B
 witch tower0x00| witch tower0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x18|0x18
0x0A|0x0A
0x0A|0x0A
 darzog's tower0x00| darzog's tower0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0F|0x0F
0x03|0x03
0x0B|0x0B
 darzogs tower0x00| darzogs tower0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0F|0x0F
0x03|0x03
0x0B|0x0B
 dragon tower0x00| dragon tower0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x05|0x05
0x0A|0x0A
0x0C|0x0C
 tower of high magic0x00| tower of high magic0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0C|0x0C
0x05|0x05
0x0F|0x0F
 darkstone tower0x00| darkstone tower0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x08|0x08
0x0B|0x0B
0x0E|0x0E
 dragon lair0x00| dragon lair0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x11|0x11
0x0D|0x0D
0x0C|0x0C
 cave of illusion0x00| cave of illusion0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x08|0x08
0x02|0x02
0x0F|0x0F
 warzone0x00| warzone0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
U0x07|U0x07
0x05|0x05
 mount firestone0x00| mount firestone0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x15|0x15
0x03|0x03
0x02|0x02
 barbaric mountains0x00| barbaric mountains0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x06|0x06
0x07|0x07
0x03|0x03
 gargoyle range0x00| gargoyle range0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x09|0x09
0x0D|0x0D
0x03|0x03
 red dwarf range0x00| red dwarf range0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x12|0x12
0x08|0x08
0x01|0x01
 ogre hills0x00| ogre hills0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x07|0x07
0x0F|0x0F
0x0E|0x0E
 pitchfork creek0x00| pitchfork creek0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x13|0x13
0x06|0x06
0x07|0x07
 magic delta0x00| magic delta0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x17|0x17
0x09|0x09
0x06|0x06
 lifeforce lagoon0x00| lifeforce lagoon0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x10|0x10
0x05|0x05
0x06|0x06
 lava lake0x00| lava lake0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0D|0x0D
0x00|0x00
0x00|0x00
 red river basin0x00| red river basin0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x16|0x16
0x05|0x05
0x05|0x05
 toad meadow0x00| toad meadow0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x17|0x17
0x07|0x07
0x02|0x02
 ever blossom orchard0x00| ever blossom orchard0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x17|0x17
0x05|0x05
0x0C|0x0C
 forest of the walking dead0x00| forest of the walking dead0x00
0x00|0x00
0x18|0x18
0x03|0x03
0x03|0x03
 fairy forest0x00| fairy forest0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0F|0x0F
0x03|0x03
0x05|0x05
 troll forest0x00| troll forest0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x08|0x08
0x09|0x09
0x09|0x09
 jousters savannah0x00| jousters savannah0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0A|0x0A
0x0E|0x0E
0x07|0x07
 jouster's savannah0x00| jouster's savannah0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x0A|0x0A
0x0E|0x0E
0x07|0x07
 desert of the sphinx0x00| desert of the sphinx0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x05|0x05
0x01|0x01
0x00|0x00
 land of the giants0x00| land of the giants0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x04|0x04
0x06|0x06
0x0F|0x0F
 shangri-la0x00| shangri-la0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
10x07|10x07
0x01|0x01
 count du money0x00| count du money0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
20x0D|20x0D
0x01|0x01
 lord xeen0x00| lord xeen0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
N0x05|N0x05
0x09|0x09
 êîíöîâêà0x00| êîíöîâêà0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
mine10x00|mine10x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
!0x07|!0x07
0x0C|0x0C
0x02|0x02
mine 10x00|mine 10x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
!0x07|!0x07
0x0C|0x0C
0x02|0x02
mine20x00|mine20x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
"""0x0A"|"""0x0A"
0x1C|0x1C
0x03|0x03
mine 20x00|mine 20x00
0x00|0x00
0x00|0x00
0x00|0x00
