1||
2|Vertigo Guild Member|Член гильдии Вертиго
3|Nightshadow Guild Member|Член гильдии Найтшэдоу
4|Rivercity Guild Member|Член гильдии Риверсити
5|Asp Guild Member|Член гильдии Эспа
6|Winterkill Guild Member|Член гильдии Винтеркилла
7|Shangri-La Guild Member|Член гильдии Шангри-Ла
8|Outstanding Citizen|Почётный горожанин
9|Red Dwarf Badge of Courage|Алый знак доблести Рыжих дворфов
10|Convicted Thief|Осуждённый вор
11|%u Warzone Wins|%u побед на Арене
12|Super Explorer|Великий исследователь
13|Master of Golems|Мастер големов
14|Taxman Emeritus|Почётный сборщик податей
15|Rescued Crodo|Спасён Кродо
16|Found Shangri-La|Найден город Шангри-Ла
17|Prince of Thieves|Принц воров
18|Ghostslayer Extraordinaire|Выдающийся борец с призраками
19|Legendary %s|Легендарный %s
20|Rescued Celia|Спасена Селия
21|Helped Orothin|Оказана помощь Орофину
22|Restored Falista|Возвращена Фалиста
23|Turned Seasons|Сменены времена года
24|Helped Carlawna|Оказана помощь Карлавн
25|Helped Falagar|Оказана помощь Фалагару
26|Restored Mirabeth|Снято проклятие с Мирабет
27|Helped Danulf|Оказана помощь Данульфу
28|Saved Elves|Спасены эльфы
29|Civilized One|Культурный человек
30|Helped Captain Nystor|Оказана помощь капитану Найстору
31|Liberated Pagoda|Освобождена пагода
32|Fisherman's Friend|Друг рыбака
33|Helped Arie|Оказана помощь Арию
34|Freed Ligono|Лигоно упокоен с миром
35|Helped Glom|Оказана помощь Глому
36|Helped Halon|Оказана помощь Халону
37|Princess' Favorite|Фаворит принцессы
38|Appeased Barok|Утихомирен Барок
39|Loremaster of Worms|Хранитель знаний червей
40|Loremaster of Lizards|Хранитель знаний ящеров
41|Loremaster of Serpents|Хранитель знаний змей
42|Loremaster of Drakes|Хранитель знаний змиев
43|Loremaster of Dragons|Хранитель знаний драконов
44|DEFEATED LORD XEEN|ПОБЕЖДЁН ЛОРД КСИН
45|Master of Words|Мастер слова
46|Member Drawkcab Brotherhood|Член Братства Дерепан Модаз
47|Chosen one|Избранный
48|Disciple of Bark|Ученик Барка
49|Cartographer's Challenge|Испытание картографа
50|Merchant's Challenge|Испытание торговца
51|Superior Intellect|Превосходный интеллект
52|Helped Dreyfus|Оказана помощь Дрейфусу
53|Returned Statuettes|Возвращены статуэтки
54|Drawkcab Extraordinaire|Выдающийся знаток палиндромов
55|Enchanted Bridle|Зачарованная узда
56|Helped Kramer|Оказана помощь Крамеру
57|Helped Vespar|Оказана помощь Весперу
58|Fed Nibbler|Накормлен зубастик
59|Rescued Sprite|Спасена фея
60|Taste Tester Royale|Королевский дегустатор
61|Helped Ector|Оказана помощь Эктору
62|Restored Fountain of Youth|Восстановлен фонтан молодости
63|Awakened Fire Sleeper|Пробуждён Огненный Спящий
64|Awakened Air Sleeper|Пробуждён Воздушный Спящий
65|Awakened Earth Sleeper|Пробуждён Земной Спящий
66|Awakened Water Sleeper|Пробуждён Водный Спящий
67|Cleaned up Castleview|Очищен Каслвью
68|Rescued Jasper|Спасён Джаспер
69|Helped Nadia|Оказана помощь Наде
70|Exterminated Queen Rat|Уничтожена Королева Крыс
71|Defeated Xenoc and Morgana|Побеждены Зенок и Моргана
72|Freed Sandro|Упокоен с миром Сандро
73|Cheered Dimitri|Воодушевлён Димитрий
74|Helped Megan|Оказана помощь Меган
75|Rescued Roland|Спасён Роланд
76|Restored Castle Kalindra|Восстановлен замок Калиндра
77|DEFEATED SHELTEM|ПОБЕЖДЁН ШЕЛТЕМ
78|Goober|Герой
79|Super Goober|Супер-герой
80|Helped Caleb|Оказана помощь Калебу
81|Saved the Queen|Спасена королева
82|Freed Corak|Корак упокоен с миром
83|Returned Orb|Возвращена сфера
84|Paladin's Friend|Друг паладина
85|Castleview Guild Member|Член Гильдии Каслвью
86|Sandcaster Guild Member|Член гильдии Сэндкастер
87|Lakeside Guild Member|Член гильдии Лэйксайд
88|Necropolis Guild Member|Член гильдии Некрополя
89|Olympus Guild Member|Член гильдии Олимпа
90|====|====
91||
92|Shrine of Fire at E2,13,3 adds 50 to temporary fire resistance.{a}|Святыня огня на E2,13,3 временно дарует 50 к сопротивляемости огню.{a}
93|Shrine of Electricity at D3,15,4 adds 50 to temporary electricity resistance.{a}|Святыня электричества на D3,15,4 временно дарует 50 к сопротивляемости электричеству.{a}
94|Shrine of Cold at A4,12,14 adds 50 to temporary cold resistance.{a}|Святыня холода на A4,12,14 временно дарует 50 к сопротивляемости холоду.{a}
95|Shrine of Poison at F3,14,6 adds 50 to temporary poison resistance.{a}|Святыня яда на F3,14,6 временно дарует 50 к сопротивляемости яду.{a}
96|Shrine of Magic at C2,15,0 adds 50 to temporary magic resistance.{a}|Святыня магии на C2,15,0 временно дарует 50 к сопротивляемости магии.{a}
