|
Enter Castle Alamar?|Войти в замок Аламар?
Fountain of Super Resilience|Фонтан Супер-Жизнестойкости
You feel like you could take on the world.  +2500 hit points.|Вы чувствуете, что можете горы свернуть.  +2500 здоровья.
The water is cool and refreshing!|Вода прохладная и освежающая!
====|====
|
Enter Mine?|Войти в шахту?
Forbidden Zone.  Keep Out!|Запретная зона. Не входить!
You stumble upon a camp of Barbarian Archers.  Burn?|Вы наткнулись на лагерь варварских лучников. Сжечь?
Smoke rises into the sky as you put the camp to the torch. +100,000 experience|Дым от сожжённого вами лагеря поднимается в небо. +100000 опыта.
====|====
|
|
|
Linus{a}{9:125}the Ruby Gemsmith|Линус{a}{9:125}Кузнец по рубинам
With 5 Ruby rocks I will make a weapon or piece of armor for you. The cost is 100 gems.  Do you accept?|Из 5 рубинов я сделаю для вас оружие или элемент брони. Стоимость 100 самоцветов. Согласны?
What do you prefer?{a}1) A Weapon{a}2) Something to Wear|Что вы предпочтёте?{a}1) Оружие{a}2) Броню
Simon{a}{9:125}the Emerald Gemsmith|Саймон{a}{9:125}Кузнец по изумрудам
With 5 Emerald rocks I will make a weapon or piece of armor for you. The cost is 200 gems.  Do you accept?|Из 5 изумрудов я сделаю для вас оружие или элемент брони. Стоимость 200 самоцветов. Согласны?
Toby{a}{9:125}the Sapphire Gemsmith|Тоби{a}{9:125}Кузнец по сапфирам
With 5 Sapphire rocks I will make a weapon or piece of armor for you. The cost is 400 gems.  Do you accept?|Из 5 сапфиров я сделаю для вас оружие или элемент брони. Стоимость 400 самоцветов. Согласны?
I'm sorry, but you don't have enough Ruby rocks.  Come back when you do!|Извините, у вас недостаточно рубинов. Возвращайтесь, когда добудете их!
I'm sorry, but you don't have enough Emerald rocks.  Come back when you do!|Извините, но у вас недостаточно изумрудов. Возвращайтесь, когда добудете их!
I'm sorry, but you don't have enough Sapphire rocks.  Come back when you do!|Извините, у вас недостаточно сапфиров. Возвращайтесь, когда добудете их!
Will the party pray?|Будет ли отряд молиться?
Only silence answers your supplication.|Лишь тишина отвечает вашим мольбам.
Recognizing the urgency of your quest, the Gods grant you 3 levels.|Понимая важность ваших поисков, Боги даровали вам 3 уровня.
West Tower{a}{9:125}<--|Западная башня{a}{9:125}<--
Well of Resilience|Фонтан Жизнестойкости
The water is cool and refreshing.|Вода прохладная и освежающая.
The water magically toughens your skin and strengthens your bones.  +50 hit points|Вода магическим образом делает вашу кожу жёстче, а кости прочнее. +50 очков здоровья
Well|Колодец
Well of Spells|Колодец заклинаний
Your fingers and toes tingle from the extra magic coursing through your veins.  +50 spell points.|Ваши пальцы рук и ног покалывает от избытка магии, бегущей по вашим венам. +50 очков магии.
A strange rope rises up through the ceiling.  Climb?|Странная верёвка уходит вверх через потолок. Подниметесь?
Dreyfus{a}{9:125}High Priest of Mok|Дрейфус{a}{9:125}Верховный жрец Мока
Oh, wretched fortune!  I, Dreyfus, high priest of Mok, have been cast from my tower by heretics in the priesthood!  To think that I was blind to their deviance until it was too late to turn them back to the path of the faithful!  I would punish myself for my stupidity, but there is no time for such indulgences.  I have been locked out of the tower and must gain readmittance as soon as possible to salvage what I can from the situation.  The only way in is from the top, but the heretics have placed magical wards against my entrance.  Perhaps you could get by the wards and open the tower to me again.|О злодейка-судьба! Меня, Дрейфуса, верховного жреца Мока, еретики выгнали из моей же башни! Я не хотел замечать отступничества, пока не стало слишком поздно наставлять их на путь истинный! Я должен заплатить за свою глупость, но сейчас не до этого. Мне нужно как можно скорее попасть в башню, на самую вершину, чтобы всё исправить, но еретики поставили магические барьеры, которые не пускают меня внутрь. Возможно, вы смогли бы избавиться от стражи, чтобы я снова мог туда войти.
Your failure to breach the tower is not your fault;  it is a test of my determination to cleanse the faith of heresy.  I implore you to continue your efforts on my behalf.|Не ваша вина, что вы не смогли попасть в башню. Это испытание моей решимости. Я должен очистить веру от ереси. Умоляю, продолжайте свою борьбу во имя меня.
Thank you !  Mok appreciates your good deed and asks me to reward you for your service to the faith.  Meet me inside the tower for your reward.|Спасибо! Мок благодарит вас за доброе дело и просит меня вознаградить вас за службу вере. Я вручу вам награду в башне.
====|====
|
The hut is empty.|Хижина пуста.
It is good to see you again.  Please, allow me to restore your magical energies.|Рад видеть вас вновь. Пожалуйста, позвольте мне восстановить вашу магическую энергию.
|
|
The ship is about to break apart under the current...Search?|Корабль вот-вот развалится на части… Обыскать?
You find some booty and slip off the ship in the nick of time.  The ship sinks beneath the water behind you.|Вы нашли трофеи и покинули борт в последний момент. Судно скрывается под водой позади вас.
Justine{a}{9:125}The Thief|Джастин{a}{9:125}Вор
Pssst!  Wanna buy a Castleview pass?  Just 1000 gold.|Пс-с-с! Хотите взять пропуск в Каслвью? Всего 1000 золотых.
Falista{a}{9:125}The Unicorn|Фалиста{a}{9:125}Единорог
I am glad you found this place.  Without your help, I would be unable to return here to renew my magic and my youth.  Because you have saved my life, I will use my magic to restore yours.|Я рада, что вы отыскали это место. Без вашей помощи я бы не смогла сюда вернуться, чтобы восстановить магическую энергию и помолодеть. Поскольку вы спасли мою жизнь, я воспользуюсь своей магией для восполнения вашей.
Castle Kalindra is out of phase and you can not enter it.|Замок Калиндра не в фазе, и вы не можете войти.
A note in the bottle reads:  {a}Hello, stranger!  Please come and visit me, Xanthus the Sorcerer.  My tent is 25 West of Castle Blackfang.|В письме из бутылки написано: {a}Здравствуй, странник! Пожалуйста, навести меня, колдуна Зантуса. Моя палатка 25 на запад от замка Блэкфэнг.
Help!  I am being held captive in Castle Blackfang!  --Queen Kalindra, ruler of Darkside|Помогите! Я заточена в замке Блэкфэнг! --Королева Калиндра, правитель Тёмной стороны
Monga Melon|Пердыня
Well of Might|Колодец силы
The water is cool and refreshing.|Вода прохладная и освежающая.
Your muscles swell noticably, and you feel much stronger.  +25 Might.|Ваши мышцы заметно увеличиваются; вы чувствуете себя гораздо сильнее. +25 к силе.
Well of Protection|Колодец защиты
Your skin itches briefly, but the feeling passes quickly and you find that your skin seems much thicker and stronger.  +10 AC.|Вашу кожу слегка покалывает, но ощущение быстро проходит и вы обнаруживаете, что кожа выглядит куда толще и прочнее. +10 КБ.
Enter?|Войти?
Luna{a}{9:125}The Druid|Луна{a}{9:125}друид
I don't know what I'm going to do.  Somehow the three golden statuettes that must be placed on my altar to give it its magical aura must have been stolen.  You see, I derive all my mental powers of healing from this altar of magical beasts.  It allows me to heal all the animals that come to me with their wounds.  Without the altar's magical aura, I have no powers of healing.  If you could just return the three statuettes, I would reward you with all that I can.  You could start looking for the thief in the Great Southern Tower, rumored to be a hideout for thieves.  I do not have a key, but I have heard that the keeper of the fountain near Venom Pond has one.|Я не знаю, что делать. Кто-то украл три золотые статуэтки, которые должны находиться на моём алтаре, чтобы поддерживать его магическую ауру. Видите ли, я исчерпал из этого алтаря волшебных зверей всю свою силу исцеления. Она позволяет мне исцелять всех приходящих раненых животных. Без волшебной ауры алтаря у меня нет силы исцеления. Если вы сможете вернуть три статуэтки, я щедро вас отблагодарю. Можете начать поиски вора в Великой южной башни, которая, по слухам, является пристанищем для воров. У меня нет ключа, но я слышал, что он есть у смотрителя фонтана около пруда Ненависти.
I see you haven't found any of the statuettes yet.  Go see the keeper of the fountain near venom pond.  I think he has the key to the Great Southern Tower.  You might find a clue there.|Смотрю, вы не нашли ещё ни одной статуэтки. Наведайтесь к смотрителю фонтана около пруда Ненависти. По-моему, у него есть ключ от Великой южной башни. В ней вы могли бы поискать зацепки.
You are truly great adventurers to have found this statuette, but alas, I need all three statuettes before I can return them to their place on the altar.|Вы действительно великие приключенцы, коль нашли эту статуэтку, но, увы, мне нужны все три, прежде чем я смогу вернуть их на алтаре.
You have found all of my statuettes!  Now I can restore the altar's magical aura and regain my powers of healing.  This was no small feat to accomplish and there shall be no small reward.  For you, great adventurers, shall share my powers!  +5 Levels Perm.|Вы нашли все мои статуэтки! Теперь я смогу восстановить магическую ауру алтаря и свою силу исцеления. Совершить такое - не малый подвиг, который достоин не малой награды. Я поделюсь с вами, великими приключенцами, своей силой! +5 уровней (постоянно).
I'm pleased to see you again, friends.  Please come by more often!|Я очень рад вас видеть, друзья. Пожалуйста, заходите чаще!
Brother Reger{a}{9:125}the Monk|Брат Регер{a}{9:125}монах
There is a word for what the monks of Castleview study.|Это слово, которое изучают монахи Каслвью.
What's the word?|Что это за слово?
Palindrome|Перевёртыш
Palindromes|Перевёртыши
